"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"ROUTE","Prost Mahlzeit","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-07-22T12:00:00Z","rp",,"3","0","2","0","7-",,"","12","0","null"
"ROUTE","Adolf Nolder Ged.-Boulder","Spieser Wand","Spieser Wand",,"DE","2017-07-22T12:00:00Z","os",,"4","0","1","0","7-",,"","20","0","null"
"ROUTE","Lots Weib","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","rp",,"3","0","3","0","7-",,"","15","0","null"
"ROUTE","Grande Finale","Piccolino","Piccolino",,"DE","2017-07-22T12:00:00Z","rp",,"2","0","2","0","6",,"","10","0","null"
"ROUTE","Denkste","Röthenbacher Wand","Röthenbacher Wand",,"DE","2017-07-22T12:00:00Z","os",,"3","0","1","0","6",,"","15","0","null"
"ROUTE","Hersbrucker Weg","Zimmerbergwände","Sektor 2",,"DE","2017-07-22T12:00:00Z","tr",,"5","0","2","0","7",,"","25","0","null"
"ROUTE","Rumrosine","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-07-22T12:00:00Z","rp",,"0","0","2","0","6",,"","12","0","null"
"ROUTE","Petite Fleur","Algersdorfer Wand","Algersdorfer Wand",,"DE","2017-07-22T12:00:00Z","tr",,"4","0","2","0","7+",,"","22","0","null"
"ROUTE","Starfighter Kandidatenweg","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","rp",,"4","0","2","0","7",,"","15","0","null"
"ROUTE","Räuber Hotzenplotz","Hexenküche","Sektor 2",,"DE","2017-07-22T12:00:00Z","os",,"3","0","1","0","6",,"","15","0","null"
"ROUTE","Al Capone","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-07-22T12:00:00Z","go",,"3","1","2","0","7-",,"","12","0","null"
"ROUTE","Trivialitätenkabinett","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","os",,"3","0","1","0","7-",,"","15","0","null"
"ROUTE","Piccolina","Piccolino","Piccolino",,"DE","2017-07-22T12:00:00Z","rp",,"3","0","2","0","8-",,"","10","0","null"
"ROUTE","Wissen macht ah","Piccolino","Piccolino",,"DE","2017-07-22T12:00:00Z","rp",,"2","0","2","0","6-",,"","10","0","null"
"ROUTE","Devilwall","Hexenküche","Sektor 2",,"DE","2017-07-22T12:00:00Z","go",,"4","1","3","0","7+/8-",,"","15","0","null"
"ROUTE","Lochgeheimnis (Herz Ass)","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","rp",,"2","1","2","0","6-",,"","15","0","null"
"ROUTE","Georg Meier Ged.-Weg","Röthenbacher Wand","Röthenbacher Wand",,"DE","2017-07-22T12:00:00Z","rp",,"5","0","1","0","6+",,"","15","0","null"
"ROUTE","Paul Preuß Ged.-Weg","Algersdorfer Wand","Algersdorfer Wand",,"DE","2017-07-22T12:00:00Z","rp",,"4","0","2","0","6+",,"","22","0","null"
"ROUTE","Absinth","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-07-22T12:00:00Z","rp",,"0","0","2","0","6-",,"","21","0","null"
"ROUTE","Rolling Stone","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","go",,"3","1","2","0","7+/8-",,"","15","0","null"
"ROUTE","Nicht vergessen","Hühnersteinwand","Hühnersteinwand",,"DE","2017-07-22T12:00:00Z","rp",,"4","0","1","0","7+",,"Crux nach Gemüse ","25","0","null"
"ROUTE","Die wilden Kerle","Piccolino","Piccolino",,"DE","2017-07-22T12:00:00Z","rp",,"4","0","2","0","8-",,"","10","0","null"
"ROUTE","Butterfinger","Hühnersteinwand","Hühnersteinwand",,"DE","2017-07-22T12:00:00Z","rp",,"5","1","1","0","6+",,"","25","0","null"
"ROUTE","Röthenbacher Weg","Kirchthalwände","Kirchthalwände",,"DE","2017-07-22T12:00:00Z","go",,"4","1","2","0","8+",,"","18","0","null"
"ROUTE","Sonntagsverschneidung","Hühnersteinwand","Hühnersteinwand",,"DE","2017-07-22T12:00:00Z","os",,"5","0","1","0","5+",,"","25","0","null"
"ROUTE","Kurz und schmerzlos","Hexenküche","Sektor 2",,"DE","2017-07-22T12:00:00Z","os",,"1","0","1","0","6+",,"","15","0","null"
"ROUTE","Alkoholfrei","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-07-22T12:00:00Z","rp",,"0","0","2","0","5",,"","21","0","null"
"ROUTE","Grappatoni","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-07-22T12:00:00Z","rp",,"0","0","2","0","6-",,"","12","0","null"
"ROUTE","N.N.","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","rp",,"1","0","2","0","6",,"","15","0","null"
"ROUTE","Konrad Oed Ged.-Weg","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","os",,"2","0","1","0","5",,"","15","0","null"
"ROUTE","Father and Son","Spieser Wand","Spieser Wand",,"DE","2017-07-22T12:00:00Z","go",,"4","1","2","0","7+/8-",,"","20","0","null"
"ROUTE","Irrweg","Bolzenstein","Bolzenstein",,"DE","2017-07-22T12:00:00Z","go",,"5","1","2","0","7+/8-",,"","15","0","null"
"ROUTE","Direkte Nordwand","Spieser Wand","Spieser Wand",,"DE","2017-07-22T12:00:00Z","rp",,"4","1","2","0","7+",,"Geil Dynamisch. An Leisten Kreuzen dann weit Raus ","20","0","null"
"ROUTE","Genitale Entkrampfung","Kirchthalwände","Kirchthalwände",,"DE","2017-07-22T12:00:00Z","go",,"2","1","2","0","7+/8-",,"","18","0","null"
"ROUTE","Mururoa","Algersdorfer Wand","Algersdorfer Wand",,"DE","2017-07-22T12:00:00Z","go",,"0","1","2","0","8+/9-",,"Zwei irre weite Zug am Ende der Tour ","21","0","null"
"ROUTE","Fingerhakler","Bolzenstein","Bolzenstein",,"DE","2017-07-22T12:00:00Z","go",,"4","1","2","0","7+/8-",,"","15","0","null"
"ROUTE","Trabant","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","os",,"3","0","1","0","5+",,"","15","0","null"
"ROUTE","Gemeinsam","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","os",,"3","0","1","0","6+",,"","15","0","null"
"ROUTE","Klein und gemein","Hexenküche","Sektor 2",,"DE","2017-07-22T12:00:00Z","os",,"0","0","1","0","6",,"","15","0","null"
