date,tick_type,crag_name,route_name,grade,area_name,tries,rating,notes,partner,style
2017-07-22,redpoint,Schwarzbrennerei,Prost Mahlzeit,7-,Schwarzbrennerei,2,3,,,sport
2017-07-22,onsight,Spieser Wand,Adolf Nolder Ged.-Boulder,7-,Spieser Wand,1,4,,,sport
2017-07-22,redpoint,Zimmerbergwände,Lots Weib,7-,Sektor 1,3,3,,,sport
2017-07-22,redpoint,Piccolino,Grande Finale,6,Piccolino,2,2,,,sport
2017-07-22,onsight,Röthenbacher Wand,Denkste,6,Röthenbacher Wand,1,3,,,sport
2017-07-22,attempt,Zimmerbergwände,Hersbrucker Weg,7,Sektor 2,2,5,,,sport
2017-07-22,redpoint,Schwarzbrennerei,Rumrosine,6,Schwarzbrennerei,2,,,,sport
2017-07-22,attempt,Algersdorfer Wand,Petite Fleur,7+,Algersdorfer Wand,2,4,,,sport
2017-07-22,redpoint,Zimmerbergwände,Starfighter Kandidatenweg,7,Sektor 1,2,4,,,sport
2017-07-22,onsight,Hexenküche,Räuber Hotzenplotz,6,Sektor 2,1,3,,,sport
2017-07-22,attempt,Schwarzbrennerei,Al Capone,7-,Schwarzbrennerei,2,3,,,sport
2017-07-22,onsight,Zimmerbergwände,Trivialitätenkabinett,7-,Sektor 1,1,3,,,sport
2017-07-22,redpoint,Piccolino,Piccolina,8-,Piccolino,2,3,,,sport
2017-07-22,redpoint,Piccolino,Wissen macht ah,6-,Piccolino,2,2,,,sport
2017-07-22,attempt,Hexenküche,Devilwall,7+/8-,Sektor 2,3,4,,,sport
2017-07-22,redpoint,Zimmerbergwände,Lochgeheimnis (Herz Ass),6-,Sektor 1,2,2,,,sport
2017-07-22,redpoint,Röthenbacher Wand,Georg Meier Ged.-Weg,6+,Röthenbacher Wand,1,5,,,sport
2017-07-22,redpoint,Algersdorfer Wand,Paul Preuß Ged.-Weg,6+,Algersdorfer Wand,2,4,,,sport
2017-07-22,redpoint,Schwarzbrennerei,Absinth,6-,Schwarzbrennerei,2,,,,sport
2017-07-22,attempt,Zimmerbergwände,Rolling Stone,7+/8-,Sektor 1,2,3,,,sport
