source,date,route_name,location,sector,area,country,6a,grade_french,grade_uiaa,grade_original,style,route_type,height,comment,tries,url,stars,latitude,longitude
vertical_life,2017-07-22T12:00:00Z,Prost Mahlzeit,Schwarzbrennerei,Schwarzbrennerei,6a,6a,6c,6c,VI+,7-,rp,ROUTE,12,,2,,3,49.4521,11.0767
vertical_life,2017-07-22T12:00:00Z,Adolf Nolder Ged.-Boulder,Spieser Wand,Spieser Wand,6a,6a,6c,6c,VI+,7-,os,ROUTE,20,,1,,4,49.4321,11.1234
vertical_life,2017-07-22T12:00:00Z,Lots Weib,Zimmerbergwände,Sektor 1,6a,6a,6c,6c,VI+,7-,rp,ROUTE,15,,3,,3,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Grande Finale,Piccolino,Piccolino,6a,6a,6b,6b,VI-,6,rp,ROUTE,10,,2,,2,49.4521,11.0867
vertical_life,2017-07-22T12:00:00Z,Denkste,Röthenbacher Wand,Röthenbacher Wand,6a,6a,6b,6b,VI-,6,os,ROUTE,15,,1,,3,49.4621,11.1067
vertical_life,2017-07-22T12:00:00Z,Hersbrucker Weg,Zimmerbergwände,Sektor 2,6a,6a,6c+,6c+,VII-,7,tr,ROUTE,25,,2,,5,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Rumrosine,Schwarzbrennerei,Schwarzbrennerei,6a,6a,6b,6b,VI-,6,rp,ROUTE,12,,2,,0,49.4521,11.0767
vertical_life,2017-07-22T12:00:00Z,Petite Fleur,Algersdorfer Wand,Algersdorfer Wand,6a,6a,7a,7a,VII,7+,tr,ROUTE,22,,2,,4,49.4721,11.1267
vertical_life,2017-07-22T12:00:00Z,Starfighter Kandidatenweg,Zimmerbergwände,Sektor 1,6a,6a,6c+,6c+,VII-,7,rp,ROUTE,15,,2,,4,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Räuber Hotzenplotz,Hexenküche,Sektor 2,6a,6a,6b,6b,VI-,6,os,ROUTE,15,,1,,3,49.4821,11.1467
vertical_life,2017-07-22T12:00:00Z,Al Capone,Schwarzbrennerei,Schwarzbrennerei,6a,6a,6c,6c,VI+,7-,go,ROUTE,12,,2,,3,49.4521,11.0767
vertical_life,2017-07-22T12:00:00Z,Trivialitätenkabinett,Zimmerbergwände,Sektor 1,6a,6a,6c,6c,VI+,7-,os,ROUTE,15,,1,,3,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Piccolina,Piccolino,Piccolino,6a,6a,7a+,7a+,VII+,8-,rp,ROUTE,10,,2,,3,49.4521,11.0867
vertical_life,2017-07-22T12:00:00Z,Wissen macht ah,Piccolino,Piccolino,6a,6a,6a+,6a+,V+,6-,rp,ROUTE,10,,2,,2,49.4521,11.0867
vertical_life,2017-07-22T12:00:00Z,Devilwall,Hexenküche,Sektor 2,6a,6a,7a+,7a+,VII/VII+,7+/8-,go,ROUTE,15,,3,,4,49.4821,11.1467
vertical_life,2017-07-22T12:00:00Z,Lochgeheimnis (Herz Ass),Zimmerbergwände,Sektor 1,6a,6a,6a+,6a+,V+,6-,rp,ROUTE,15,,2,,2,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Georg Meier Ged.-Weg,Röthenbacher Wand,Röthenbacher Wand,6a,6a,6b+,6b+,VI,6+,rp,ROUTE,15,,1,,5,49.4621,11.1067
vertical_life,2017-07-22T12:00:00Z,Paul Preuß Ged.-Weg,Algersdorfer Wand,Algersdorfer Wand,6a,6a,6b+,6b+,VI,6+,rp,ROUTE,22,,2,,4,49.4721,11.1267
vertical_life,2017-07-22T12:00:00Z,Absinth,Schwarzbrennerei,Schwarzbrennerei,6a,6a,6a+,6a+,V+,6-,rp,ROUTE,21,,2,,0,49.4521,11.0767
vertical_life,2017-07-22T12:00:00Z,Rolling Stone,Zimmerbergwände,Sektor 1,6a,6a,7a+,7a+,VII/VII+,7+/8-,go,ROUTE,15,,2,,3,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Nicht vergessen,Hühnersteinwand,Hühnersteinwand,6a,6a,7a,7a,VII,7+,rp,ROUTE,25,Crux nach Gemüse ,1,,4,49.4921,11.1667
vertical_life,2017-07-22T12:00:00Z,Die wilden Kerle,Piccolino,Piccolino,6a,6a,7a+,7a+,VII+,8-,rp,ROUTE,10,,2,,4,49.4521,11.0867
vertical_life,2017-07-22T12:00:00Z,Butterfinger,Hühnersteinwand,Hühnersteinwand,6a,6a,6b+,6b+,VI,6+,rp,ROUTE,25,,1,,5,49.4921,11.1667
vertical_life,2017-07-22T12:00:00Z,Röthenbacher Weg,Kirchthalwände,Kirchthalwände,6a,6a,7b+,7b+,VIII,8+,go,ROUTE,18,,2,,4,49.5021,11.1867
vertical_life,2017-07-22T12:00:00Z,Sonntagsverschneidung,Hühnersteinwand,Hühnersteinwand,6a,6a,6a,6a,V,5+,os,ROUTE,25,,1,,5,49.4921,11.1667
vertical_life,2017-07-22T12:00:00Z,Kurz und schmerzlos,Hexenküche,Sektor 2,6a,6a,6b+,6b+,VI,6+,os,ROUTE,15,,1,,1,49.4821,11.1467
vertical_life,2017-07-22T12:00:00Z,Alkoholfrei,Schwarzbrennerei,Schwarzbrennerei,6a,6a,5c,5c,V-,5,rp,ROUTE,21,,2,,0,49.4521,11.0767
vertical_life,2017-07-22T12:00:00Z,Grappatoni,Schwarzbrennerei,Schwarzbrennerei,6a,6a,6a+,6a+,V+,6-,rp,ROUTE,12,,2,,0,49.4521,11.0767
vertical_life,2017-07-22T12:00:00Z,N.N.,Zimmerbergwände,Sektor 1,6a,6a,6b,6b,VI-,6,rp,ROUTE,15,,2,,1,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Konrad Oed Ged.-Weg,Zimmerbergwände,Sektor 1,6a,6a,5c,5c,V-,5,os,ROUTE,15,,1,,2,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Father and Son,Spieser Wand,Spieser Wand,6a,6a,7a+,7a+,VII/VII+,7+/8-,go,ROUTE,20,,2,,4,49.4321,11.1234
vertical_life,2017-07-22T12:00:00Z,Irrweg,Bolzenstein,Bolzenstein,6a,6a,7a+,7a+,VII/VII+,7+/8-,go,ROUTE,15,,2,,5,49.5121,11.2067
vertical_life,2017-07-22T12:00:00Z,Direkte Nordwand,Spieser Wand,Spieser Wand,6a,6a,7a,7a,VII,7+,rp,ROUTE,20,Geil Dynamisch. An Leisten Kreuzen dann weit Raus ,2,,4,49.4321,11.1234
vertical_life,2017-07-22T12:00:00Z,Genitale Entkrampfung,Kirchthalwände,Kirchthalwände,6a,6a,7a+,7a+,VII/VII+,7+/8-,go,ROUTE,18,,2,,2,49.5021,11.1867
vertical_life,2017-07-22T12:00:00Z,Mururoa,Algersdorfer Wand,Algersdorfer Wand,6a,6a,7b+,7b+,VIII/VIII+,8+/9-,go,ROUTE,21,Zwei irre weite Zug am Ende der Tour ,2,,0,49.4721,11.1267
vertical_life,2017-07-22T12:00:00Z,Fingerhakler,Bolzenstein,Bolzenstein,6a,6a,7a+,7a+,VII/VII+,7+/8-,go,ROUTE,15,,2,,4,49.5121,11.2067
vertical_life,2017-07-22T12:00:00Z,Trabant,Zimmerbergwände,Sektor 1,6a,6a,6a,6a,V,5+,os,ROUTE,15,,1,,3,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Gemeinsam,Zimmerbergwände,Sektor 1,6a,6a,6b+,6b+,VI,6+,os,ROUTE,15,,1,,3,49.4421,11.0934
vertical_life,2017-07-22T12:00:00Z,Klein und gemein,Hexenküche,Sektor 2,6a,6a,6b,6b,VI-,6,os,ROUTE,15,,1,,0,49.4821,11.1467
vertical_life,2017-07-22T12:00:00Z,Südostkante,Kirchthalwände,Kirchthalwände,6a,6a,6a+,6a+,V+,6-,os,ROUTE,21,,1,,0,49.5021,11.1867
vertical_life,2017-07-22T12:00:00Z,Rechte Nordwand,Spieser Wand,Spieser Wand,6a,6a,6c+,6c+,VII-,7,rp,ROUTE,20,,2,,3,49.4321,11.1234
vertical_life,2017-07-22T12:00:00Z,Streiflicht,Algersdorfer Wand,Algersdorfer Wand,6a,6a,6c,6c,VI+,7-,rp,ROUTE,22,,2,,3,49.4721,11.1267
vertical_life,2017-07-22T12:00:00Z,Nebenbei,Spieser Wand,Spieser Wand,6a,6a,7a,7a,VII,7+,rp,ROUTE,21,,2,,0,49.4321,11.1234
vertical_life,2017-07-22T12:00:00Z,Höhenkoller,Algersdorfer Wand,Algersdorfer Wand,6a,6a,7a,7a,VII,7+,rp,ROUTE,21,,2,,0,49.4721,11.1267
vertical_life,2017-07-22T12:00:00Z,Hufeisen,Hühnersteinwand,Hühnersteinwand,6a,6a,4a,4a,III,4,os,ROUTE,25,,1,,0,49.4921,11.1667
vertical_life,2017-07-22T12:00:00Z,Faule Kalorie,Zimmerbergwände,Sektor 1,6a,6a,6b+,6b+,VI,6+,os,ROUTE,15,,1,,2,49.4421,11.0934
vertical_life,2017-07-30T12:00:00Z,Seelendoping,Große Wacht,Große Wacht,6a,6a,6b,6b,VI-,6,os,ROUTE,18,,1,,0,49.5221,11.2267
